building_id,cluster,damage_numeric,damage_grade
231109001461,0,4.0,Grade 4
231109001471,0,4.0,Grade 4
231109001481,0,5.0,Grade 5
231109001491,0,5.0,Grade 5
231109001501,0,5.0,Grade 5
231109001511,0,5.0,Grade 5
231109001521,0,4.0,Grade 4
231109001531,0,4.0,Grade 4
231109001541,0,5.0,Grade 5
231109001551,0,5.0,Grade 5
231109001561,0,5.0,Grade 5
231109001571,0,5.0,Grade 5
231109001581,0,1.0,Grade 1
231109001591,0,5.0,Grade 5
231109001601,0,4.0,Grade 4
231109001602,0,5.0,Grade 5
231109001611,0,5.0,Grade 5
231109001612,0,5.0,Grade 5
231109001621,0,5.0,Grade 5
231109001622,0,5.0,Grade 5
231109001641,0,5.0,Grade 5
231109001651,0,5.0,Grade 5
231109001661,0,5.0,Grade 5
231109001671,0,5.0,Grade 5
231109001681,0,5.0,Grade 5
231109001691,0,3.0,Grade 3
231109001701,0,3.0,Grade 3
231109001711,0,3.0,Grade 3
231109001712,0,4.0,Grade 4
231109001721,0,5.0,Grade 5
231109001731,0,2.0,Grade 2
231109001741,0,5.0,Grade 5
231109001751,0,5.0,Grade 5
231109001761,0,1.0,Grade 1
231109001771,0,1.0,Grade 1
231109001781,0,5.0,Grade 5
231109001791,0,5.0,Grade 5
231109001801,0,5.0,Grade 5
231109001811,0,5.0,Grade 5
231109001821,0,5.0,Grade 5
231109001822,0,5.0,Grade 5
231109001831,0,5.0,Grade 5
231109001841,0,5.0,Grade 5
231109001842,0,5.0,Grade 5
231109001851,0,5.0,Grade 5
231109001861,0,5.0,Grade 5
231201000011,0,4.0,Grade 4
231201000021,0,5.0,Grade 5
231201000031,0,5.0,Grade 5
231201000041,0,5.0,Grade 5
231201000051,0,5.0,Grade 5
231201000061,0,5.0,Grade 5
231201000071,0,5.0,Grade 5
231201000081,0,4.0,Grade 4
231201000091,0,4.0,Grade 4
231201000101,0,5.0,Grade 5
231201000111,0,4.0,Grade 4
231201000121,0,4.0,Grade 4
231201000131,0,3.0,Grade 3
231201000141,0,5.0,Grade 5
231201000151,0,5.0,Grade 5
231201000161,0,5.0,Grade 5
231201000171,0,5.0,Grade 5
231201000181,0,5.0,Grade 5
231201000191,0,5.0,Grade 5
231201000201,0,5.0,Grade 5
231201000202,0,5.0,Grade 5
231201000211,0,4.0,Grade 4
231201000221,0,4.0,Grade 4
231201000231,0,5.0,Grade 5
231201000241,0,4.0,Grade 4
231201000251,0,2.0,Grade 2
231201000261,0,5.0,Grade 5
231201000271,0,5.0,Grade 5
231201000281,0,5.0,Grade 5
231201000291,0,5.0,Grade 5
231201000301,0,4.0,Grade 4
231201000311,0,4.0,Grade 4
231201000321,0,4.0,Grade 4
231201000331,0,5.0,Grade 5
231201000341,0,5.0,Grade 5
231201000351,0,5.0,Grade 5
231201000352,0,5.0,Grade 5
231201000361,0,5.0,Grade 5
231201000371,0,4.0,Grade 4
231201000381,0,5.0,Grade 5
231201000391,0,5.0,Grade 5
231201000401,0,5.0,Grade 5
231201000411,0,5.0,Grade 5
231201000421,0,4.0,Grade 4
231201000422,0,4.0,Grade 4
231201000431,0,4.0,Grade 4
231201000441,0,4.0,Grade 4
231201000451,0,5.0,Grade 5
231201000452,0,5.0,Grade 5
231201000461,0,5.0,Grade 5
231201000471,0,5.0,Grade 5
231201000481,0,4.0,Grade 4
231201000491,0,5.0,Grade 5
231201000501,0,3.0,Grade 3
231201000511,0,3.0,Grade 3
231201000521,0,5.0,Grade 5
231201000531,0,5.0,Grade 5
231201000541,0,2.0,Grade 2
231201000551,0,3.0,Grade 3
231201000561,0,3.0,Grade 3
231201000571,0,4.0,Grade 4
231201000581,0,5.0,Grade 5
231201000591,0,5.0,Grade 5
231201000601,0,4.0,Grade 4
231201000611,0,4.0,Grade 4
231201000621,0,3.0,Grade 3
231201000631,0,5.0,Grade 5
231201000641,0,4.0,Grade 4
231201000651,0,3.0,Grade 3
231201000661,0,5.0,Grade 5
231201000671,0,3.0,Grade 3
231201000681,0,4.0,Grade 4
231201000691,0,4.0,Grade 4
231201000692,0,1.0,Grade 1
231201000701,0,1.0,Grade 1
231201000702,0,2.0,Grade 2
231201000711,0,4.0,Grade 4
231201000712,0,5.0,Grade 5
231201000713,0,4.0,Grade 4
231201000721,0,4.0,Grade 4
231201000731,0,4.0,Grade 4
231201000741,0,3.0,Grade 3
