building_id,damage_numeric,predicted_severity
286104000271,5.0,4.987913556129212
286104000281,4.0,3.5998253822918964
286104000331,4.0,3.45045200956577
286104000371,4.0,3.4672080290118084
286104000441,5.0,4.987913556129212
286104000461,4.0,3.5998253822918964
286104000471,4.0,3.45045200956577
286104000501,4.0,3.4672080290118084
286104000511,4.0,3.4586209874325675
286104000651,4.0,3.59026142429328
286104000661,5.0,4.987913556129212
286104000751,4.0,3.59026142429328
286104000801,5.0,4.987913556129212
286104000871,4.0,3.4586209874325675
286104001051,5.0,4.987913556129212
286104001091,5.0,4.987913556129212
286104001101,5.0,4.987913556129212
286104001131,5.0,4.987913556129212
286104001181,4.0,3.59026142429328
286104001211,5.0,4.987913556129212
286104001221,5.0,4.987913556129212
286104001361,5.0,4.987913556129212
286104001401,5.0,4.987913556129212
286104001421,5.0,4.987913556129212
286104001451,5.0,4.987913556129212
286104001461,5.0,4.95996818476215
286104001491,4.0,3.5998253822918964
286104001631,5.0,4.987913556129212
286104001632,4.0,3.6207535250195026
286104001681,5.0,4.987913556129212
286104001721,5.0,4.987913556129212
286104001741,5.0,4.987913556129212
286104001791,4.0,3.4586209874325675
286104001811,5.0,4.987913556129212
286104001821,5.0,4.987913556129212
286104001841,4.0,3.5998253822918964
286104001891,5.0,4.987913556129212
286104001991,5.0,4.987913556129212
286104002011,5.0,4.987913556129212
286104002111,4.0,3.59026142429328
286104002141,5.0,4.987913556129212
286104002191,5.0,4.987913556129212
286104002201,5.0,4.987913556129212
286104002211,5.0,4.987913556129212
286104002321,4.0,3.4377052058659725
286104002341,5.0,4.987913556129212
286104002391,5.0,5.0
286104002411,4.0,3.5998253822918964
286105000051,5.0,4.987913556129212
286105000111,5.0,4.987913556129212
286105000131,4.0,3.45045200956577
286105000151,4.0,3.5998253822918964
286105000161,5.0,4.987913556129212
286105000191,4.0,3.4586209874325675
286105000411,5.0,4.987913556129212
286105000421,4.0,3.4586209874325675
286105000461,4.0,3.6207535250195026
286105000531,5.0,4.987913556129212
286105000541,4.0,3.6207535250195026
286105000671,4.0,3.438557416676664
286105000711,4.0,3.4586209874325675
286105000771,4.0,3.6207535250195026
286105000781,4.0,3.4672080290118084
286105000791,4.0,3.6207535250195026
286105000821,4.0,3.2846878206808943
286105000831,4.0,3.4586209874325675
286105000921,4.0,3.45045200956577
286105000981,4.0,3.5998253822918964
286106000071,4.0,3.546217889431044
286106000101,4.0,3.5998253822918964
286106000111,4.0,3.45045200956577
286106000131,5.0,4.987913556129212
286106000261,4.0,3.561053268671486
286106000282,2.0,2.6097702439136468
286106000291,5.0,4.987913556129212
286106000331,5.0,4.987913556129212
286106000351,2.0,1.588706431447269
286106000412,4.0,3.59026142429328
286106000451,5.0,4.987913556129212
286106000461,5.0,4.987913556129212
286106000471,5.0,4.987913556129212
286106000581,4.0,3.4335662869212613
286106000641,5.0,4.987913556129212
286106000691,4.0,3.285709970330308
286106000711,5.0,4.987913556129212
286106000721,4.0,3.45045200956577
286106000761,4.0,3.45045200956577
286106000811,4.0,3.2914117429090184
286106000851,5.0,4.987913556129212
286106000861,4.0,3.45045200956577
286106000961,5.0,4.987913556129212
286106000991,1.0,1.602659249466741
286106001001,5.0,3.5998253822918964
286106001021,5.0,3.561053268671486
286106001181,4.0,3.5998253822918964
286106001331,5.0,4.987913556129212
286106001341,5.0,4.987913556129212
286106001351,4.0,3.45045200956577
286106001381,4.0,3.45045200956577
286106001391,4.0,3.438557416676664
286106001421,4.0,3.438557416676664
286106001461,4.0,3.45045200956577
286106001531,5.0,4.987913556129212
286107000041,5.0,4.987913556129212
286107000081,2.0,3.4335662869212613
286107000091,4.0,3.285709970330308
286107000111,5.0,3.6207535250195026
286107000241,4.0,3.4586209874325675
286107000331,4.0,3.159575517635885
286107000371,4.0,3.4586209874325675
286107000461,5.0,4.987913556129212
286107000571,4.0,3.45045200956577
286107000601,4.0,3.5998253822918964
286107000672,2.0,3.285709970330308
286107000681,4.0,3.317348354660972
286107000731,4.0,3.6207535250195026
286107000751,4.0,3.45045200956577
286107000831,4.0,3.266550224329058
286107000862,4.0,3.45045200956577
286108000011,5.0,4.987913556129212
286108000041,5.0,3.561053268671486
286108000051,5.0,4.95996818476215
286108000101,5.0,3.3010835580751596
286108000221,5.0,4.987913556129212
286108000281,5.0,4.987913556129212
286108000291,5.0,4.95996818476215
286108000311,5.0,4.987913556129212
286108000331,5.0,4.987913556129212
286108000411,5.0,3.5998253822918964
286108000471,4.0,3.561053268671486
